(val) step 2339: {'pi': 0.994140625, 'score': 0.994140625, 'examples_seen': 74880, 'step': 2339}
(val) step 2349: {'pi': 1.0, 'score': 1.0, 'examples_seen': 75200, 'step': 2349}
(val) step 2359: {'pi': 0.984375, 'score': 0.984375, 'examples_seen': 75520, 'step': 2359}
(val) step 2369: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 75840, 'step': 2369}
(val) step 2379: {'pi': 0.9765625, 'score': 0.9765625, 'examples_seen': 76160, 'step': 2379}
(val) step 2389: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 76480, 'step': 2389}
(val) step 2399: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 76800, 'step': 2399}
(val) step 2409: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 77120, 'step': 2409}
(val) step 2419: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 77440, 'step': 2419}
(val) step 2429: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 77760, 'step': 2429}
(val) step 2439: {'pi': 0.98046875, 'score': 0.98046875, 'examples_seen': 78080, 'step': 2439}
(val) step 2449: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 78400, 'step': 2449}
(val) step 2459: {'pi': 0.859375, 'score': 0.859375, 'examples_seen': 78720, 'step': 2459}
(val) step 2469: {'pi': 0.421875, 'score': 0.421875, 'examples_seen': 79040, 'step': 2469}
(val) step 2479: {'pi': 0.83203125, 'score': 0.83203125, 'examples_seen': 79360, 'step': 2479}
(val) step 2489: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 79680, 'step': 2489}
(val) step 2499: {'pi': 0.90625, 'score': 0.90625, 'examples_seen': 80000, 'step': 2499}
(val) step 2509: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 80320, 'step': 2509}
(val) step 2519: {'pi': 0.98828125, 'score': 0.98828125, 'examples_seen': 80640, 'step': 2519}
(val) step 2529: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 80960, 'step': 2529}
(val) step 2539: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 81280, 'step': 2539}
(val) step 2549: {'pi': 1.0, 'score': 1.0, 'examples_seen': 81600, 'step': 2549}
(val) step 2559: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 81920, 'step': 2559}
(val) step 2569: {'pi': 1.0, 'score': 1.0, 'examples_seen': 82240, 'step': 2569}
(val) step 2579: {'pi': 0.986328125, 'score': 0.986328125, 'examples_seen': 82560, 'step': 2579}
(val) step 2589: {'pi': 0.9921875, 'score': 0.9921875, 'examples_seen': 82880, 'step': 2589}
(val) step 2599: {'pi': 0.951171875, 'score': 0.951171875, 'examples_seen': 83200, 'step': 2599}
(val) step 2609: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 83520, 'step': 2609}
(val) step 2619: {'pi': 0.943359375, 'score': 0.943359375, 'examples_seen': 83840, 'step': 2619}
(val) step 2629: {'pi': 0.982421875, 'score': 0.982421875, 'examples_seen': 84160, 'step': 2629}
